image,modality,mounting,content_type,code_type,uncertain,x_center,y_center,width,height,norm_area
1.jpg,video_frame,wall,alphanumeric,barcode,,0.265625,0.271717,0.171046,0.153535,0.02626167
10.jpg,video_frame,hung,alphanumeric,barcode,,0.408091,0.337879,0.273019,0.314141,0.08576654
11.jpg,video_frame,wall,alphanumeric,qr,,0.371305,0.426768,0.298292,0.364646,0.10877106
12.jpg,video_frame,wall,alphanumeric,none,,0.525746,0.205556,0.22192,0.207071,0.04595307
13.jpg,video_frame,wall,alphanumeric,barcode,,0.528783,0.473737,0.210778,0.349495,0.07366579
14.jpg,video_frame,wall,alphanumeric,none,,0.660418,0.356566,0.178223,0.242424,0.04320554
15.jpg,video_frame,hung,alphanumeric,qr,,0.336912,0.343939,0.298417,0.263636,0.07867364
16.jpg,video_frame,wall,alphanumeric,qr,,0.455021,0.342424,0.239886,0.305051,0.07317727
17.jpg,video_frame,hung,alphanumeric,barcode,,0.599449,0.305051,0.229201,0.280808,0.06436152
18.jpg,video_frame,wall,alphanumeric,qr,,0.58224,0.322222,0.182852,0.284848,0.05208516
19.jpg,video_frame,wall,alphanumeric,barcode,,0.303301,0.308586,0.231957,0.283838,0.0658384
2.jpg,video_frame,hung,alphanumeric,barcode,,0.58515,0.158586,0.228058,0.149495,0.03409357
2.jpg,video_frame,hung,alphanumeric,barcode,,0.655668,0.70303,0.083021,0.058586,0.00486387
20.jpg,video_frame,hung,alphanumeric,none,,0.475833,0.211111,0.20459,0.155556,0.03182514
20250714_130346.jpg,phone_photo,hung,alphabetic,none,,0.137879,0.205051,0.066667,0.086869,0.00579125
20250714_130346.jpg,phone_photo,hung,unclear,,,0.410227,0.397475,0.041667,0.045455,0.00189394
20250714_130455.jpg,phone_photo,hung,unclear,,,0.636364,0.799495,0.087542,0.069697,0.00610142
20250714_130501.jpg,phone_photo,hung,unclear,,,0.60404,0.727273,0.119865,0.070707,0.00847533
20250714_130631.jpg,phone_photo,hung,unclear,,,0.594318,0.442424,0.037121,0.040404,0.00149985
20250714_130631.jpg,phone_photo,hung,alphanumeric,none,,0.656061,0.385354,0.040909,0.053535,0.00219008
20250714_130631.jpg,phone_photo,hung,alphanumeric,none,,0.730682,0.312121,0.043182,0.056566,0.00244261
20250714_130631.jpg,phone_photo,hung,alphanumeric,barcode,,0.815909,0.278788,0.039394,0.072727,0.00286501
20250714_130631.jpg,phone_photo,wall,,,,0.862121,0.286869,0.039394,0.066667,0.00262626
